"match_id","radiant_team_id","dire_team_id","duration","radiant_score","dire_score","radiant_win"
3288023712,4759900,2777582,2082,17,30,true
3290586688,4730907,464103,1660,11,33,true
3281308081,4707213,2915964,3958,46,50,true
3279127563,4705982,2777582,2749,37,46,true
3278304193,4704126,4324365,3548,42,32,true
3278387472,4704126,3747060,678,19,1,true
3279814904,4704126,3477208,1840,7,14,false
3276431065,4704126,3786981,2673,32,12,true
3278246661,4704126,3715574,3220,16,18,false
3275935059,4704126,3477208,3427,29,39,true
3278304193,4704126,4324365,3548,42,32,false
3279718819,4704126,3477208,2115,12,17,true
3281853891,4704126,3715574,1945,14,35,true
3277897323,4704126,2672298,2923,28,28,true
3278246661,4704126,3715574,3220,16,18,true
3275038059,4703773,3704482,6139,55,54,true
3275038059,4703773,3704482,6139,55,54,false
3277122831,4703773,3152713,3167,19,38,true
3273873508,4703006,2570995,2000,12,29,true
3273551218,4703005,2714312,1762,24,51,true
3278238643,4653139,3714164,1865,18,11,true
3278320383,4653139,1905619,2095,9,22,false
3277914056,4653139,3214108,2160,17,30,true
3278320383,4653139,1905619,2095,9,22,true
3275738929,4652711,2672298,1433,6,25,true
3286019994,4650540,4647363,1456,6,43,true
3287799041,4647193,3343629,3424,43,49,true
3278648453,4646830,4,1418,4,27,false
3278401845,4646830,3325252,1798,26,8,false
3279022993,4646830,3547682,3086,46,61,true
3260982891,4646795,1905619,2160,27,33,true
3276678806,4593848,3725701,2518,12,37,false
3274330770,4593848,3659536,2030,15,17,false
3274557442,4593848,350190,2747,40,44,false
3274800531,4593848,543897,1589,11,26,true
3276619671,4593848,3326875,1206,5,21,true
3274557442,4593848,350190,2747,40,44,true
3260819879,4593831,4425117,1598,11,23,false
3264475193,4593831,3704482,3148,39,32,true
3260908794,4593831,4425117,2284,16,21,false
3279352903,4593831,26,3906,44,36,true
3275399089,4593831,3152713,2663,35,17,true
3281132641,4593831,4186376,2679,33,21,true
3281023107,4593831,4186376,2290,34,17,true
3281703281,4593831,26,2123,34,13,true
3277147265,4593831,3704482,2540,18,23,false
3255993998,4593831,4425117,2724,38,18,false
3250809289,4593831,4328182,2807,39,23,false
3260908794,4593831,4425117,2284,16,21,true
3264666466,4593831,3704482,2253,29,31,true
3279352903,4593831,26,3906,44,36,false
3280916901,4593831,4186376,2468,33,33,true
3281300755,4593831,464103,2252,23,20,false
3281703281,4593831,26,2123,34,13,false
3277032932,4593831,464103,2256,35,16,false
3277799119,4593831,4703773,3663,35,29,false
3277576403,4593287,4647193,3787,37,43,true
3275931259,4592777,2006913,1674,9,23,false
3277502885,4592777,2790766,2462,20,49,false
3249061303,4592777,3704482,2146,11,38,true
3275297767,4592777,4425117,2626,30,12,false
3277642650,4592777,2621843,2568,19,35,true
3290807322,4592662,4274424,2688,34,27,true
3277840539,4592662,2607096,2932,32,45,true
3291004241,4592662,4274424,1102,5,24,true
3250888641,4592275,3923284,2477,19,55,true
3279538142,4591569,2710805,3542,52,26,false
3282916694,4542383,3262512,1595,10,35,false
3282916694,4542383,3262512,1595,10,35,true
3244207688,4541528,3655754,689,3,28,true
3244398858,4541043,4425117,1718,4,33,true
3260317286,4540154,24,1426,3,29,true
3246432406,4538958,24,1123,6,37,true
3225603929,4536975,4527772,1309,12,20,true
3230832430,4536431,2679744,1438,15,36,true
3285944077,4536429,4277461,2980,33,24,false
3223484992,4535815,4151852,1880,12,41,true
3225717779,4527823,4527772,1480,9,28,true
3225662002,4527772,4527823,2903,32,21,true
3225662002,4527772,4527823,2903,32,21,false
3225352924,4483225,4484560,2211,28,12,false
3277603392,4482961,3750946,2698,28,29,true
3261206395,4469196,4425718,2779,46,56,false
3263303416,4469196,1905619,2022,32,20,true
