"Match ID","Series","League","Start Date/Time","Match Length","Duration secs","Kills Score","Dummy","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3139035173","134272","5157","25 abr 2017 11:34","52:12","3132","33-39","33,39","Radiant","Faceless","Black^, iceiceice, xy, NutZ, Jabz","SG e-sports","c4t, Kingrd, 4dr, hFn, tavo"
"3139007373","134274","5157","25 abr 2017 11:13","32:36","1956","11-25","11,25","Dire","Invictus Gaming","BurNIng, Xxs, Q, Op, Boboka.Rr","Team Secret","pieliedie, Puppey, MP, MidOne, KheZu"
"3138972122","134273","5157","25 abr 2017 10:47","31:46","1906","10-26","10,26","Dire","Team Random","跳刀跳刀丶, iceice, y`Maxine, Faith_bian, shadow","OG Dota2","n0tail, JerAx, s4, Fly, ana"
"3138956853","134257","5157","25 abr 2017 10:35","33:23","2003","18-29","18,29","Dire","Team VGJ","rOtk, fy, Fenrir, Agressif, Freeze","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa"
"3138948575","134272","5157","25 abr 2017 10:29","36:31","2191","26-20","26,20","Radiant","Faceless","Black^, iceiceice, xy, NutZ, Jabz","SG e-sports","c4t, Kingrd, 4dr, hFn, tavo"
"3138908078","134256","5157","25 abr 2017 09:57","32:57","1977","26-13","26,13","Radiant","Virtus.pro","9pasha, No[o]ne-, Lil, RAMZES666, Solo","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H"
"3138877020","134259","5157","25 abr 2017 09:32","27:51","1671","16-27","16,27","Dire","Newbee","Faith, kpii, uuu9, kaka, Sccc","Evil Geniuses","Cr1t-, zai, Arteezy, Universe, SumaiL"
"3138850326","134257","5157","25 abr 2017 09:09","54:38","3278","44-34","44,34","Radiant","Team VGJ","rOtk, fy, Fenrir, Agressif, Freeze","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa"
"3138849710","134258","5157","25 abr 2017 09:09","35:59","2159","25-16","25,16","Radiant","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG","iG.Vitality","super, @dogf1ghts, InJuly, Paparazi, Sakata"
"3138784941","134259","5157","25 abr 2017 08:11","54:58","3298","23-33","23,33","Dire","Newbee","Faith, kpii, uuu9, kaka, Sccc","Evil Geniuses","Cr1t-, zai, Arteezy, Universe, SumaiL"
"3138779907","134258","5157","25 abr 2017 08:07","36:20","2180","17-39","17,39","Dire","iG.Vitality","super, @dogf1ghts, InJuly, Paparazi, Sakata","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG"
"3138775969","134257","5157","25 abr 2017 08:03","34:27","2067","18-23","18,23","Dire","Team VGJ","rOtk, fy, Fenrir, Agressif, Freeze","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa"
"3138772596","134256","5157","25 abr 2017 08:00","1:14:25","4465","34-43","34,43","Dire","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H","Virtus.pro","9pasha, No[o]ne-, Lil, RAMZES666, Solo"
"3138232418","","5157","24 abr 2017 09:28","25:09","1509","31-10","31,10","Radiant","Team VGJ","rOtk, fy, Fenrir, Agressif, Freeze","iG.Vitality","super, @dogf1ghts, InJuly, Paparazi, Sakata"
"3138170103","","5157","24 abr 2017 08:33","33:31","2011","9-46","9,46","Dire","Faceless","Black^, iceiceice, xy, NutZ, Jabz","Evil Geniuses","Cr1t-, zai, Arteezy, Universe, SumaiL"
"3138154278","","5157","24 abr 2017 08:21","37:47","2267","40-23","40,23","Radiant","iG.Vitality","super, @dogf1ghts, InJuly, Paparazi, Sakata","Team VGJ","rOtk, fy, Fenrir, Agressif, Freeze"
"3138150479","","5157","24 abr 2017 08:18","1:14:47","4487","51-50","51,50","Radiant","Newbee","Faith, kpii, uuu9, kaka, Sccc","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG"
"3138094830","","5157","24 abr 2017 07:34","20:39","1239","11-26","11,26","Dire","SG e-sports","c4t, Kingrd, 4dr, hFn, tavo","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH.GOD, Miracle"
"3138062271","","5157","24 abr 2017 07:10","52:44","3164","20-33","20,33","Dire","Evil Geniuses","Cr1t-, zai, Arteezy, Universe, SumaiL","Faceless","Black^, iceiceice, xy, NutZ, Jabz"
"3138061022","","5157","24 abr 2017 07:10","45:09","2709","25-28","25,28","Radiant","Team VGJ","rOtk, fy, Fenrir, Agressif, Freeze","iG.Vitality","super, @dogf1ghts, InJuly, Paparazi, Sakata"
"3138060601","","5157","24 abr 2017 07:09","42:59","2579","20-36","20,36","Dire","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG","Newbee","Faith, kpii, uuu9, kaka, Sccc"
"3138003121","","5157","24 abr 2017 06:29","34:49","2089","13-19","13,19","Dire","SG e-sports","c4t, Kingrd, 4dr, hFn, tavo","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH.GOD, Miracle"
"3137947452","","5157","24 abr 2017 05:52","45:45","2745","31-29","31,29","Dire","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H"
"3137939382","","5157","24 abr 2017 05:47","52:09","3129","36-43","36,43","Dire","Newbee","Faith, kpii, uuu9, kaka, Sccc","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG"
"3137930231","","5157","24 abr 2017 05:41","59:44","3584","22-30","22,30","Dire","Faceless","Black^, iceiceice, xy, NutZ, Jabz","Evil Geniuses","Cr1t-, zai, Arteezy, Universe, SumaiL"
"3137907375","","5157","24 abr 2017 05:27","31:03","1863","5-26","5,26","Dire","Team Random","跳刀跳刀丶, iceice, y`Maxine, Faith_bian, shadow","Virtus.pro","9pasha, No[o]ne-, Lil, RAMZES666, Solo"
"3137824197","","5157","24 abr 2017 04:39","35:19","2119","32-15","32,15","Radiant","Team Secret","pieliedie, Puppey, MP, MidOne, KheZu","Digital Chaos","BuLba, DeMoN, DuBu, Abed, mason"
"3137800908","","5157","24 abr 2017 04:26","55:46","3346","32-49","32,49","Dire","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H"
"3137782735","","5157","24 abr 2017 04:16","46:27","2787","29-24","29,24","Dire","OG Dota2","n0tail, JerAx, s4, Fly, ana","Invictus Gaming","BurNIng, Xxs, Q, Op, Boboka.Rr"
"3137764244","","5157","24 abr 2017 04:06","53:03","3183","32-36","32,36","Dire","Virtus.pro","9pasha, No[o]ne-, Lil, RAMZES666, Solo","Team Random","跳刀跳刀丶, iceice, y`Maxine, Faith_bian, shadow"
"3137700702","","5157","24 abr 2017 03:33","35:22","2122","5-22","5,22","Dire","Digital Chaos","BuLba, DeMoN, DuBu, Abed, mason","Team Secret","pieliedie, Puppey, MP, MidOne, KheZu"
"3137684735","","5157","24 abr 2017 03:24","32:41","1961","27-13","27,13","Radiant","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H"
"3137652123","","5157","24 abr 2017 03:08","29:59","1799","22-6","22,6","Radiant","Virtus.pro","9pasha, No[o]ne-, Lil, RAMZES666, Solo","Team Random","跳刀跳刀丶, iceice, y`Maxine, Faith_bian, shadow"
"3137643518","","5157","24 abr 2017 03:03","41:07","2467","39-21","39,21","Radiant","Invictus Gaming","BurNIng, Xxs, Q, Op, Boboka.Rr","OG Dota2","n0tail, JerAx, s4, Fly, ana"
"3137462784","","5157","24 abr 2017 01:20","44:49","2689","32-47","32,47","Dire","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH.GOD, Miracle","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa"
"3137421315","","5157","24 abr 2017 12:52","35:11","2111","21-12","21,12","Radiant","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H","Evil Geniuses","Cr1t-, zai, Arteezy, Universe, SumaiL"
"3137420384","","5157","24 abr 2017 12:51","51:16","3076","24-31","24,31","Dire","Newbee","Faith, kpii, uuu9, kaka, Sccc","Digital Chaos","BuLba, DeMoN, DuBu, Abed, mason"
"3137360770","","5157","24 abr 2017 12:08","43:57","2637","29-36","29,36","Dire","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH.GOD, Miracle","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa"
"3137347019","","5157","24 abr 2017 11:58","34:49","2089","18-46","18,46","Dire","Faceless","Black^, iceiceice, xy, NutZ, Jabz","Virtus.pro","9pasha, No[o]ne-, Lil, RAMZES666, Solo"
"3137325049","","5157","24 abr 2017 11:42","43:11","2591","28-16","28,16","Radiant","TNC Pro Team","ryOyr, Raven, TIMS, Kuku, Sam H","Evil Geniuses","Cr1t-, zai, Arteezy, Universe, SumaiL"
"3137304243","","5157","24 abr 2017 11:26","59:01","3541","40-23","40,23","Radiant","Digital Chaos","BuLba, DeMoN, DuBu, Abed, mason","Newbee","Faith, kpii, uuu9, kaka, Sccc"
"3137262488","","5157","24 abr 2017 10:54","44:31","2671","27-37","27,37","Dire","Planet Odd","MoonMeander, w33, Resolut1on, MiSeRy, Saksa","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH.GOD, Miracle"
"3137237965","","5157","24 abr 2017 10:36","55:52","3352","29-25","29,25","Radiant","Virtus.pro","9pasha, No[o]ne-, Lil, RAMZES666, Solo","Faceless","Black^, iceiceice, xy, NutZ, Jabz"
"3137225459","","5157","24 abr 2017 10:27","31:47","1907","23-16","23,16","Radiant","OG Dota2","n0tail, JerAx, s4, Fly, ana","SG e-sports","c4t, Kingrd, 4dr, hFn, tavo"
"3137212042","","5157","24 abr 2017 10:16","39:42","2382","19-27","19,27","Dire","iG.Vitality","super, @dogf1ghts, InJuly, Paparazi, Sakata","Team Random","跳刀跳刀丶, iceice, y`Maxine, Faith_bian, shadow"
"3137154342","","5157","24 abr 2017 09:31","42:01","2521","28-27","28,27","Dire","Team VGJ","rOtk, fy, Fenrir, Agressif, Freeze","Team Secret","pieliedie, Puppey, MP, MidOne, KheZu"
"3137147095","","5157","24 abr 2017 09:25","34:34","2074","8-29","8,29","Dire","SG e-sports","c4t, Kingrd, 4dr, hFn, tavo","OG Dota2","n0tail, JerAx, s4, Fly, ana"
"3137133270","","5157","24 abr 2017 09:15","33:07","1987","16-23","16,23","Dire","iG.Vitality","super, @dogf1ghts, InJuly, Paparazi, Sakata","Team Random","跳刀跳刀丶, iceice, y`Maxine, Faith_bian, shadow"
"3137130045","","5157","24 abr 2017 09:12","39:09","2349","24-32","24,32","Dire","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG","Invictus Gaming","BurNIng, Xxs, Q, Op, Boboka.Rr"
"3137076847","134087","5157","24 abr 2017 08:28","32:38","1958","20-9","20,9","Radiant","Team Secret","pieliedie, Puppey, MP, MidOne, KheZu","Team VGJ","rOtk, fy, Fenrir, Agressif, Freeze"
"3137048517","","5157","24 abr 2017 08:04","41:30","2490","20-17","20,17","Dire","Team Random","跳刀跳刀丶, iceice, y`Maxine, Faith_bian, shadow","iG.Vitality","super, @dogf1ghts, InJuly, Paparazi, Sakata"
"3137048108","","5157","24 abr 2017 08:03","38:35","2315","33-15","33,15","Radiant","Invictus Gaming","BurNIng, Xxs, Q, Op, Boboka.Rr","mousesports","Skylark, Maybe Next Time, SsaSpartan, Madara, ThuG"
"3137046741","","5157","24 abr 2017 08:02","54:11","3251","25-41","25,41","Dire","OG Dota2","n0tail, JerAx, s4, Fly, ana","SG e-sports","c4t, Kingrd, 4dr, hFn, tavo"
"3124644956","132754","4289","17 abr 2017 09:37","48:52","2932","44-35","44,35","Radiant","Team Empire","fn, Ghostik, Miposhka, Chappie, KingR?!","Danish Bears","NoiA, Ryze, BabyKnight, HeStEJoE-RoTTeN, Ace"
"3124569646","132754","4289","17 abr 2017 08:32","36:04","2164","28-33","28,33","Dire","Danish Bears","NoiA, Ryze, BabyKnight, HeStEJoE-RoTTeN, Ace","Team Empire","fn, Ghostik, Miposhka, Chappie, KingR?!"
"3124453404","132754","4289","17 abr 2017 07:08","59:02","3542","38-62","38,62","Radiant","Team Empire","fn, Ghostik, Miposhka, Chappie, KingR?!","Danish Bears","NoiA, Ryze, BabyKnight, HeStEJoE-RoTTeN, Ace"
"3121956726","132483","4442","16 abr 2017 02:02","31:20","1880","13-16","13,16","Dire","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit","Clutch Gamers","rApy-, Boombacs, Gabbi, ARMEL!, FLYSOLO"
"3121840741","132483","4442","16 abr 2017 01:03","37:23","2243","30-22","30,22","Radiant","Clutch Gamers","rApy-, Boombacs, Gabbi, ARMEL!, FLYSOLO","WarriorsGaming.Unity","xNova, KanGaroo, NaNa, ah fu , Ah Jit"
